title,year,journal,method,markerGene,nSamples,seqDepth,simIndex,otuDefinition,taxa,habitat,environment,spatialExtent,mantelR,pValue
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,16,500,bray,0.97,fungi,air,air,12,0.42,0.04
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.24,0.08
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.39,0.01
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.35,0.03
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.41,0.03
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.36,0.02
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.44,0
Spore dispersal of basidiomycete fungi at the landscape scale is driven by stochastic and deterministic processes and generates variability in plant-fungal interactions,2014,New Phytologist,pyrosequencing,ITS,17,500,bray,0.97,fungi,air,air,12,0.45,0.02
Soil fungal communities of grasslands are environmentally structured at a regional scale in the Alps,2014,Molecular Ecology,pyrosequencing,ITS,204,289,jaccard,NA,fungi,soil,grassland,100,0.019,0.22
Soil fungal communities of grasslands are environmentally structured at a regional scale in the Alps,2014,Molecular Ecology,pyrosequencing,ITS,204,289,betaMNTD,NA,fungi,soil,grassland,100,0.005,0.577
Soil fungal communities of grasslands are environmentally structured at a regional scale in the Alps,2014,Molecular Ecology,pyrosequencing,ITS,204,289,betaMPD,NA,fungi,soil,grassland,100,0.04,0.12
Spatial Scaling Effects on Soil Bacterial Communities in Malaysian Tropical Forests,2014,Microbial Ecology,pyrosequencing,16S,30,520,bray,0.97,bacteria,soil,forest,0.15,0.03,0.05
Spatial Scaling Effects on Soil Bacterial Communities in Malaysian Tropical Forests,2014,Microbial Ecology,pyrosequencing,16S,26,520,bray,0.97,bacteria,soil,forest,1300,0.2,NA
SSU rDNA Sequence Diversity and Seasonally Differentiated Distribution of Nanoplanktonic Ciliates in Neritic Bohai and Yellow Seas as Revealed by T-RFLP,2014,PloS One,TRFLP,18S,35,NA,bray,band,eukarya,water,marine,540,-0.011,NA
SSU rDNA Sequence Diversity and Seasonally Differentiated Distribution of Nanoplanktonic Ciliates in Neritic Bohai and Yellow Seas as Revealed by T-RFLP,2014,PloS One,TRFLP,18S,35,NA,bray,band,eukarya,water,marine,540,-0.008,NA
"Pyrosequencing reveals correlations between extremely acidophilic bacterial communities with hydrogen sulphide concentrations, pH and inert polymer coatings at concrete sewer crown surfaces",2014,Journal of Applied Microbiology,pyrosequencing,16S,6,1759,bray,0.97,bacteria,water,urban,0.2,-0.24,0.175
Neotropical Andes hot springs harbor diverse and distinct planktonic microbial communities,2014,Environmental Microbiology,pyrosequencing,16S,5,4400,jaccard,0.97,Bac_arch,water,river,290,0.50273,0.05
Diversity and Transport of Microorganisms in Intertidal Sands of the California Coast,2014,Applied and Environmental Microbiology,pyrosequencing,16S,49,4000,bray,0.97,Bac_arch,sediment,coastal,1350,0.25,0.001
The spatial structure of bacterial communities is influenced by historical environmental conditions,2014,Ecology,TRFLP,16S,16,NA,bray,band,bacteria,water,marine,0.03,0.28,0.01
Drivers shaping the diversity and biogeography of total and active bacterial communities in the South China Sea,2014,Molecular Ecology,pyrosequencing,16S,30,4346,bray,0.97,bacteria,water,marine,500,0.2497,0.01
Differentiation between sediment and hypolimnion methanogen communities in humic lakes,2014,Environmental Microbiology,sanger,mcrA,27,25,w_unifrac,1,archaea,sediment,lake,32,0.12,0.14
Differentiation between sediment and hypolimnion methanogen communities in humic lakes,2014,Environmental Microbiology,sanger,mcrA,27,25,bray,1,archaea,sediment,lake,32,0.61,0.001
Biogeography of the Sediment Bacterial Community Responds to a Nitrogen Pollution Gradient in the East China Sea,2014,Applied and Environmental Microbiology,pyrosequencing,16S,25,4800,bray,0.97,bacteria,sediment,marine,55,0.879,0.001
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,28,NA,bray,band,bacteria,host,marine,800,0.863,NA
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,28,NA,bray,band,bacteria,host,marine,800,0.931,NA
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,27,NA,bray,band,bacteria,host,marine,800,0.085,NA
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,27,NA,bray,band,bacteria,host,marine,800,0.86,NA
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,19,NA,bray,band,bacteria,host,marine,800,0.95,NA
Host rules: spatial stability of bacterial communities associated with marine sponges (Ircinia spp.) in the Western Mediterranean Sea,2013,FEMS Microbiology Ecology,TRFLP,16S,19,NA,bray,band,bacteria,host,marine,800,0.591,NA
Environmental controls over bacterial communities in polar desert soils,2013,Ecosphere,TRFLP,16S,32,NA,bray,band,bacteria,soil,desert,60,0.21,0.006
Dispersal in microbes: fungi in indoor air are dominated by outdoor air and show dispersal limitation at short distances,2013,ISME,pyrosequencing,ITS,44,100,beta_sim,0.97,fungi,air,urban,0.5,0.2,0.001
Dispersal in microbes: fungi in indoor air are dominated by outdoor air and show dispersal limitation at short distances,2013,ISME,pyrosequencing,ITS,36,100,beta_sim,0.97,fungi,air,urban,0.5,0.19,0.003
The biogeography of fungal communities in wetland sediments along the Changjiang River and other sites in China,2013,ISME,DGGE,ITS,61,NA,NA,band,fungi,sediment,coastal,4000,0.224,0.003
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,12,1000,u_unifrac,0.97,bacteria,sediment,lake,3,0.093,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,12,1000,u_unifrac,0.97,bacteria,sediment,lake,3,0.112,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,27,1000,u_unifrac,0.97,bacteria,sediment,lake,50,0.699,0.001
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,27,1000,u_unifrac,0.97,bacteria,water,lake,50,0.476,0.01
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,20,1000,u_unifrac,0.97,bacteria,sediment,lake,0.011,0.578,0.05
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,28,1000,u_unifrac,0.97,bacteria,sediment,lake,0.007,0.52,0.001
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,24,1000,u_unifrac,0.97,bacteria,sediment,river,33,0.521,0.01
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,25,1000,u_unifrac,0.97,bacteria,sediment,lake,850,0.267,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,12,1000,betaMNTD,0.97,bacteria,sediment,lake,3,0.099,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,12,1000,betaMNTD,0.97,bacteria,sediment,lake,3,0.202,NA
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,27,1000,betaMNTD,0.97,bacteria,sediment,lake,50,0.435,0.001
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,27,1000,betaMNTD,0.97,bacteria,water,lake,50,0.275,0.01
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,20,1000,betaMNTD,0.97,bacteria,sediment,lake,0.011,0.422,0.001
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,28,1000,betaMNTD,0.97,bacteria,sediment,lake,0.007,0.486,0.001
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,24,1000,betaMNTD,0.97,bacteria,water,river,33,0.494,0.001
Phylogenetic beta diversity in bacterial assemblages across ecosystems: deterministic versus stochastic processes,2013,ISME,pyrosequencing,16S,25,1000,betaMNTD,0.97,bacteria,sediment,lake,850,0.143,NA
Geographic distance and ecosystem size determine the distribution of smallest protists in lacustrine ecosystems,2013,FEMS Microbiology Ecology,TRFLP,18S,24,NA,bray,band,eukarya,water,lake,400,0.53,0.01
Geographic distance and ecosystem size determine the distribution of smallest protists in lacustrine ecosystems,2013,FEMS Microbiology Ecology,pyrosequencing,18S,6,14890,bray,0.95,eukarya,water,lake,400,0.83,0.05
Biogeography of bacterial communities exposed to progressive long-term environmental change,2013,ISME,pyrosequencing,16S,39,2800,bray,0.97,bacteria,water,lake,20,0.28,0.001
Contemporary environmental variation determines microbial diversity patterns in acid mine drainage,2013,ISME,pyrosequencing,16S,59,540,w_unifrac,0.97,Bac_arch,NA,mine,1600,0.106,0.072
"Microbial biogeography during austral summer 2007 in the surface waters around the South Shetland Islands, Antarctica",2013,Aquatic Microbial Ecology,DGGE,16S,14,NA,bray,band,bacteria,water,marine,523,0.441,0.003
"Microbial biogeography during austral summer 2007 in the surface waters around the South Shetland Islands, Antarctica",2013,Aquatic Microbial Ecology,DGGE,18S,14,NA,bray,band,eukarya,water,marine,523,0.321,0.013
Distance Decay of Similarity in Neotropical Diatom Communities,2013,PloS One,morphology,NA,114,400,bray,NA,eukarya,water,river,800,0.38,0.001
Distance Decay of Similarity in Neotropical Diatom Communities,2013,PloS One,morphology,NA,129,400,bray,NA,eukarya,water,river,800,0.56,0.001
Distance Decay of Similarity in Neotropical Diatom Communities,2013,PloS One,morphology,NA,114,400,simpson,NA,eukarya,water,river,800,0.38,0.001
Distance Decay of Similarity in Neotropical Diatom Communities,2013,PloS One,morphology,NA,129,400,simpson,NA,eukarya,water,river,800,0.5,0.001
Geographic distance and pH drive bacterial distribution in alkaline lake sediments across Tibetan Plateau,2012,Environmental Microbiology,pyrosequencing,16S,17,4000,u_unifrac,0.97,bacteria,sediment,lake,1670,0.443,0.03
Dispersal limitation and the assembly of soil Actinobacteria communities in a long-term chronosequence,2012,Ecology and Evolution,TRFLP,16S,12,NA,bray,band,bacteria,soil,forest,343,0.35,0.022
Dispersal limitation and the assembly of soil Actinobacteria communities in a long-term chronosequence,2012,Ecology and Evolution,TRFLP,16S,12,NA,bray,band,bacteria,soil,forest,343,0.32,0.027
Dispersal limitation and the assembly of soil Actinobacteria communities in a long-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,u_unifrac,0.97,bacteria,soil,forest,343,0.24,0.064
Dispersal limitation and the assembly of soil Actinobacteria communities in a long-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,bray,0.9,bacteria,soil,forest,343,0,0.479
Dispersal limitation and the assembly of soil Actinobacteria communities in a long-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,bray,0.93,bacteria,soil,forest,343,0.15,0.186
Dispersal limitation and the assembly of soil Actinobacteria communities in a long-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,bray,0.95,bacteria,soil,forest,343,0.36,0.043
Dispersal limitation and the assembly of soil Actinobacteria communities in a long-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,bray,0.97,bacteria,soil,forest,343,0.35,0.036
Dispersal limitation and the assembly of soil Actinobacteria communities in a long-term chronosequence,2012,Ecology and Evolution,sanger,16S,12,239,bray,0.99,bacteria,soil,forest,343,0.32,0.031
Bacterial assemblages of the eastern Atlantic Ocean reveal both vertical and latitudinal biogeographic signatures,2012,Biogeosciences,pyrosequencing,16S,16,6687,bray,0.97,bacteria,water,marine,7700,0.25,0.04
Biogeography of pelagic bacterioplankton across an antagonistic temperature-salinity gradient in the Red Sea,2011,Molecular Ecology,pyrosequencing,16S,31,1959,w_unifrac,0.97,bacteria,water,marine,700,0.84,0.0001
Ecology and biogeography of bacterial communities associated with chloroethene-contaminated aquifers,2012,Frontiers in Microbiology,TRFLP,16S,84,NA,bray,band,bacteria,NA,aquifer,1000,0.223,0.001
Bacterial community structure in a latitudinal gradient of lakes: the roles of spatial versus environmental factors,2011,Freshwater Biology,DGGE,16S,41,NA,jaccard,band,bacteria,water,lake,2150,0.503,0.0001
The bacterial biogeography of British soils,2011,Environmental Microbiology,TRFLP,16S,1010,NA,bray,band,bacteria,soil,grassland,1200,0.1,0.001
Disentangling the spatial patterns in community composition of prokaryotic and eukaryotic lake plankton,2011,Limnology and Oceanography,morphology,NA,100,200,sorensen,NA,eukarya,water,lake,800,0.246,0.001
Disentangling the spatial patterns in community composition of prokaryotic and eukaryotic lake plankton,2011,Limnology and Oceanography,morphology,NA,100,50,sorensen,NA,eukarya,water,lake,800,0.296,0.001
Disentangling the spatial patterns in community composition of prokaryotic and eukaryotic lake plankton,2011,Limnology and Oceanography,TRFLP,16S,100,NA,sorensen,band,bacteria,water,lake,800,0.145,0.001
Metacommunity organization of soil microorganisms depends on habitat defined by presence of Lobelia siphilitica plants,2011,Ecology,TRFLP,16S,14,NA,hellinger,band,bacteria,soil,grassland,508,0.23,0.007
Metacommunity organization of soil microorganisms depends on habitat defined by presence of Lobelia siphilitica plants,2011,Ecology,TRFLP,ITS,14,NA,hellinger,band,fungi,soil,grassland,508,-0.12,NA
Metacommunity organization of soil microorganisms depends on habitat defined by presence of Lobelia siphilitica plants,2011,Ecology,TRFLP,16S,14,NA,hellinger,band,bacteria,soil,grassland,508,0.02,0.41
Metacommunity organization of soil microorganisms depends on habitat defined by presence of Lobelia siphilitica plants,2011,Ecology,TRFLP,ITS,14,NA,hellinger,band,fungi,soil,grassland,508,-0.04,NA
"Possible interactions between bacterial diversity, microbial activity and supraglacial hydrology of cryoconite holes in Svalbard",2011,ISME,TRFLP,16S,6,NA,bray,band,bacteria,sediment,glacier,7,0.001,0.007
"Possible interactions between bacterial diversity, microbial activity and supraglacial hydrology of cryoconite holes in Svalbard",2011,ISME,TRFLP,16S,6,NA,bray,band,bacteria,sediment,glacier,7,0,0.392
"Possible interactions between bacterial diversity, microbial activity and supraglacial hydrology of cryoconite holes in Svalbard",2011,ISME,TRFLP,16S,6,NA,bray,band,bacteria,sediment,glacier,7,0.002,0.169
Evidence of dispersal limitation in soil microorganisms: Isolation reduces species richness on mycorrhizal tree islands,2010,Ecology,sanger,ITS,155,33,bray,0.97,fungi,host,forest,7.8,0.07,0.001
The ecology of the phyllosphere: geographic and phylogenetic variability in the distribution of bacteria on tree leaves,2010,Environmental Microbiology,pyrosequencing,16S,119,750,w_unifrac,0.97,bacteria,host,forest,14000,0.08,0.5
Community structures of ammonia-oxidising archaea and bacteria in high-altitude lakes on the Tibetan Plateau,2010,Freshwater Biology,sanger,amoA,17,20,w_unifrac,0.98,archaea,water,lake,333.52,0.276,0.017
Life history determines biogeographical patterns of soil bacterial communities over multiple spatial scales,2010,Molecular Ecology,phylochip,16S,10,NA,bray,NA,bacteria,soil,forest,350,0.54,0.007
Life history determines biogeographical patterns of soil bacterial communities over multiple spatial scales,2010,Molecular Ecology,phylochip,16S,10,NA,bray,NA,bacteria,soil,forest,350,0.31,0.02
"Biogeographical patterns of freshwater micro- and macroorganisms: a comparison between phytoplankton, zooplankton and fish in the eastern Mediterranean",2010,Journal of Biogeography,morphology,NA,7,400,sorensen,NA,eukarya,water,marine,342,0.129,0.614
"Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina",2009,Applied and Environmental Microbiology,sanger,16S,7,52,jaccard,0.99,archaea,water,lake,17845.5,0.336,0.116
"Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina",2009,Applied and Environmental Microbiology,sanger,16S,7,52,jaccard,0.97,archaea,water,lake,17845.5,-0.094,0.473
"Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina",2009,Applied and Environmental Microbiology,sanger,16S,7,52,jaccard,0.95,archaea,water,lake,17845.5,-0.087,0.486
"Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina",2009,Applied and Environmental Microbiology,sanger,16S,7,8,jaccard,0.99,bacteria,water,lake,17845.5,0.125,0.166
"Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina",2009,Applied and Environmental Microbiology,sanger,16S,7,8,jaccard,0.97,bacteria,water,lake,17845.5,0.484,0.0016
"Microbial Biogeography of Six Salt Lakes in Inner Mongolia, China, and a Salt Lake in Argentina",2009,Applied and Environmental Microbiology,sanger,16S,7,8,jaccard,0.95,bacteria,water,lake,17845.5,0.328,0.002
"Relationships between Testate Amoebae Assemblages (Protozoa) and Geographic Factors in Yunnan Plateau Lakes, China",2009,Journal of Freshwater Ecology,morphology,NA,9,NA,sorensen,NA,eukarya,water,lake,480,-0.031,0.437
Biogeographical patterns of soil bacterial communities,2009,Environmental Microbiology,ARISA,16S,593,NA,sorensen,band,bacteria,soil,grassland,NA,0.225,0.001
Bar-Coded Pyrosequencing Reveals Shared Bacterial Community Properties along the Temperature Gradients of Two Alkaline Hot Springs in Yellowstone National Park,2009,Applied and Environmental Microbiology,pyrosequencing,16S,39,484,bray,NA,bacteria,water,river,2,0.21,0.0001
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,7,NA,sorensen,band,bacteria,water,lake,6.9,0.393,0.01
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,9,NA,sorensen,band,bacteria,water,lake,6.6,0.431,0.05
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,4,NA,sorensen,band,bacteria,water,lake,3,0.057,NA
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,7,NA,sorensen,band,bacteria,water,lake,3.9,0.38,0.001
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,6,NA,sorensen,band,bacteria,water,lake,8.7,0.565,0.01
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,5,NA,sorensen,band,bacteria,water,lake,7.8,0.037,NA
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,14,NA,sorensen,band,bacteria,water,lake,7.1,0.225,0.05
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,5,NA,sorensen,band,bacteria,water,lake,4.5,0.56,0.01
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,7,NA,sorensen,band,bacteria,water,lake,9.1,0.428,0.01
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,7,NA,sorensen,band,bacteria,water,lake,6.2,0.463,0.05
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,6,NA,sorensen,band,bacteria,water,lake,5.2,0.242,NA
Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high- elevation lake chains,2009,Limnology and Oceanography,TRFLP,16S,5,NA,sorensen,band,bacteria,water,lake,4.3,0.522,0.001
Bacterial cosmopolitanism and importance of local environmental factors for community composition in remote high-altitude lakes,2009,Freshwater Biology,DGGE,16S,6,NA,jaccard,band,bacteria,water,lake,5.9,0.555,0.032
"Relationship of geographic distance, depth, temperature, and viruses with prokaryotic communities in the eastern tropical Atlantic Ocean",2008,Microbial Ecology,TRFLP,16S,10,NA,jaccard,band,archaea,water,marine,4600,-0.04,0.7939
"Relationship of geographic distance, depth, temperature, and viruses with prokaryotic communities in the eastern tropical Atlantic Ocean",2008,Microbial Ecology,TRFLP,16S,10,NA,jaccard,band,bacteria,water,marine,4600,0.16,0.3512
Water masses and biogeography of picoeukaryote assemblages in a cold hydrographically complex system,2008,Limnology and Oceanography,DGGE,18S,54,NA,euclidean,band,eukarya,water,marine,2000,0.30932,0.019
Phylogenetic ecology of the freshwater Actinobacteria acI lineage,2007,Applied and Environmental Microbiology,sanger,16S,18,93,bray,0.99,bacteria,water,lake,362,-0.09,NA
Environmental controls on the landscape-scale biogeography of stream bacterial communities,2007,Ecology,TRFLP,16S,23,NA,bray,band,bacteria,sediment,river,7.5,0.05,NA
Does ecosystem size determine aquatic bacterial richness?,2005,Ecology,DGGE,16S,11,NA,jaccard,band,bacteria,water,lake,7.5,0.292,0.025
Large variability of bathypelagic microbial eukaryotic communities across the worlds oceans,2016,ISME,pyrosequencing,18S,25,6625,bray,0.97,eukarya,water,marine,16000,0.32,0.001
Microhabitat heterogeneity across leaves and flower organs promotes bacterial diversity,2015,FEMS Microbiology Ecology,illumina,16S,33,1000,w_unifrac,0.97,bacteria,host,forest,77.5,0.032,0.28
"Methanogen diversity and community composition in peatlands of the central to northern Appalachian Mountain region, North America",2012,Biogeochemistry,sanger,16S,30,75,sorensen,0.97,archaea,soil,marsh,775,0.15,0.67
Environmental Constraints Underpin the Distribution and Phylogenetic Diversity of nifH in the Yellowstone Geothermal Complex,2011,Microbial Ecology,sanger,nifH,13,14,rao,0.99,Bac_arch,sediment,river,51.56,0.27,0.01
[FeFe]-hydrogenase in Yellowstone National Park: evidence for dispersal limitation and phylogenetic niche conservatism,2010,ISME,sanger,hydA,9,18,rao,NA,bacteria,sediment,river,53.3,0.45,0.01
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,ITS,12,784,sorensen,0.9,fungi,host,forest,23,0.83,0.001
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,ITS,12,784,sorensen,0.95,fungi,host,forest,23,0.8,0.01
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,ITS,12,784,sorensen,0.97,fungi,host,forest,23,0.79,0.001
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,ITS,12,784,sorensen,0.99,fungi,host,forest,23,0.68,0.001
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,16S,12,784,sorensen,0.9,bacteria,host,forest,23,0.38,0.01
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,16S,12,784,sorensen,0.95,bacteria,host,forest,23,0.48,0.01
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,16S,12,784,sorensen,0.97,bacteria,host,forest,23,0.51,0.01
Phyllosphere Fungal Communities Differentiate More Thoroughly than Bacterial Communities Along an Elevation Gradient,2016,Microbial Ecology,pyrosequencing,16S,12,784,sorensen,0.99,bacteria,host,forest,23,0.56,0.001
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup-Crick,0.97,eukarya,soil,forest,0.064,0.338,0.05
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup-Crick,0.97,eukarya,soil,forest,0.064,-0.24,NA
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup-Crick,0.97,fungi,soil,forest,0.064,0.171,0.05
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup-Crick,0.97,eukarya,soil,forest,0.064,0.22,0.05
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup-Crick,0.97,eukarya,soil,forest,0.064,0.13,NA
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup-Crick,0.97,fungi,soil,forest,0.064,0.18,0.05
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup-Crick,0.97,eukarya,soil,forest,0.064,0.102,NA
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,14,738,Raup-Crick,0.97,eukarya,soil,forest,0.064,0.124,NA
Stochastic distribution of small soil eukaryotes resulting from high dispersal and drift in a local environment,2016,ISME,pyrosequencing,ITS,41,738,Raup-Crick,0.97,fungi,soil,forest,0.064,0.294,0.05
Eutrophication decreases distance decay of similarity in diatom communities,2014,Freshwater Biology,morphology,NA,10,500,jaccard,NA,eukarya,water,river,6,0.43,0.01
Eutrophication decreases distance decay of similarity in diatom communities,2014,Freshwater Biology,morphology,NA,10,500,jaccard,NA,eukarya,water,river,6,0.79,0.001
High diatom species turnover in a Baltic Sea rock pool metacommunity,2019,Marine Biodiversity,morphology,NA,30,500,bray,NA,eukarya,water,marine,0.104,0.27,0.001
High diatom species turnover in a Baltic Sea rock pool metacommunity,2019,Marine Biodiversity,morphology,NA,30,500,bray,NA,eukarya,water,marine,0.104,0.28,0.001
High diatom species turnover in a Baltic Sea rock pool metacommunity,2019,Marine Biodiversity,morphology,NA,30,500,bray,NA,eukarya,water,marine,0.104,0.28,0.001
Microbial diversity and distribution differ between water column and biofilm assemblages in arid-land waterbodies,2019,Freshwater Science,illumina,16S,36,55890,w_unifrac,0.97,bacteria,water,lake,250,0.74,0.001
